Monster		Members	Combat level	Hitpoints	Attack level	Defence level	Magic level	Ranged level	Stab defence	Slash defence	Crush defence	Magic defence	Light Ranged defence	Standard Ranged defence	Heavy Ranged defence
Gnome troop - Level 1	Gnome troop Level 1	Members	1	3	1	1	1	1	3	4	5	2	4	4	4
Gnome woman - 2	Gnome woman 2	Members	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Duck - Female	Duck Female	Free-to-play	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Gnome woman - 1	Gnome woman 1	Members	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Cuthbert	Cuthbert	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Rat - Regular	Rat Regular	Free-to-play	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Gnome - Level 1	Gnome Level 1	Members	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Rat - Stronghold of Security	Rat Stronghold of Security	Free-to-play	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Alrik	Alrik	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Gnome child - Normal	Gnome child Normal	Members	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Jonny the Beard	Jonny the Beard	Free-to-play	2	8	1	1	1	1	0	0	0	0	0	0	0
Man (East Ardougne)	Man (East Ardougne)	Members	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Skraeling (Etceteria) - Sword	Skraeling (Etceteria) Sword	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Skraeling (Miscellania) - Brown shirt	Skraeling (Miscellania) Brown shirt	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Jeff	Jeff	Free-to-play	2	7	1	1	1	1	-10	-10	-10	-10	-10	-10	-10
Skraeling (Miscellania) - Green shirt	Skraeling (Miscellania) Green shirt	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Rabbit - Miscellania	Rabbit Miscellania	Free-to-play	2	5	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Embertailed jerboa	Embertailed jerboa	Members	2	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Ragnvald	Ragnvald	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Penguin (monster)	Penguin (monster)	Members	2	4	1	2	1	1	0	0	0	0	0	0	0
Goblin - Level 2	Goblin Level 2	Free-to-play	2	5	1	1	1	1	-15	-15	-15	-15	-15	-15	-15
Goblin - Level 2 (armed)	Goblin Level 2 (armed)	Members	2	5	3	4	1	1	-15	-15	-15	-15	-15	-15	-15
Ram - 1	Ram 1	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Giant spider - Level 2	Giant spider Level 2	Free-to-play	2	5	1	1	1	1	-10	-10	-10	-10	-10	-10	-10
Ram - Sheared	Ram Sheared	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Rannveig	Rannveig	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Ram - 2	Ram 2	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Entrana firebird	Entrana firebird	Members	2	5	1	1	1	1	-26	-26	-26	-26	-26	-26	-26
Hengel	Hengel	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Backpack	Man Backpack	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Imp - Regular	Imp Regular	Free-to-play	2	8	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Skraeling (Etceteria) - Battleaxe	Skraeling (Etceteria) Battleaxe	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Rooster - Level 2	Rooster Level 2	Members	2	5	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Rabbit - Tirannwn	Rabbit Tirannwn	Free-to-play	2	5	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Rusty	Rusty	Free-to-play	2	7	1	1	1	1	-15	-15	-15	-15	-15	-15	-15
Seagull - Level 2	Seagull Level 2	Free-to-play	2	6	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Man - Backpack (Musa Point)	Man Backpack (Musa Point)	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow - 3	Cow 3	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Blue	Man Blue	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Undead cow	Undead cow	Members	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Valgerd	Valgerd	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Woman (East Ardougne)	Woman (East Ardougne)	Members	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Thora (Miscellania)	Thora (Miscellania)	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Man - Black	Man Black	Free-to-play	2	7	1	1	1	1	0	0	0	0	0	0	0
Black chinchompa (Hunter)	Black chinchompa (Hunter)	Members	2	1	2	2	2	2	0	0	0	0	0	0	0
Bunny - 1	Bunny 1	Members	2	5	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Bunny - 2	Bunny 2	Members	2	5	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Rabbit (Prifddinas)	Rabbit (Prifddinas)	Members	2	2000	600	450	300	1	150	150	150	150	200	200	200
Woman - Brown	Woman Brown	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Wormbrain	Wormbrain	Free-to-play	2	5	1	1	1	1	0	0	0	0	0	0	0
Anja	Anja	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Narf	Narf	Free-to-play	2	7	1	1	1	1	-5	-5	-5	-5	-5	-5	-5
Woman - Varrock	Woman Varrock	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Woman - Red	Woman Red	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Woman - Shayzien	Woman Shayzien	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Woman - Purple	Woman Purple	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Carnivorous chinchompa	Carnivorous chinchompa	Members	2	1	2	2	2	2	0	0	0	0	0	0	0
Broddi	Broddi	Members	2	1	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Man - Shayzien	Man Shayzien	Members	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow - 2	Cow 2	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow - 1	Cow 1	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow calf - Farmland	Cow calf Farmland	Free-to-play	2	6	1	1	1	1	-26	-26	-26	-26	-26	-26	-26
Cow calf - 2	Cow calf 2	Free-to-play	2	6	1	1	1	1	-26	-26	-26	-26	-26	-26	-26
Ram - 3	Ram 3	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow - Zanaris	Cow Zanaris	Members	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow - Isle of Souls	Cow Isle of Souls	Members	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Blue Moon Inn	Man Blue Moon Inn	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow calf - 1	Cow calf 1	Free-to-play	2	6	1	1	1	1	-26	-26	-26	-26	-26	-26	-26
Ram - Monastery	Ram Monastery	Free-to-play	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Light blue	Man Light blue	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Karamja	Man Karamja	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Cow (Nightmare Zone) - Normal	Cow (Nightmare Zone) Normal	Members	2	8	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Pink	Man Pink	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Red	Man Red	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Man - Green	Man Green	Free-to-play	2	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Pheasant - 1 tail	Pheasant 1 tail	Free-to-play	3	5	3	3	1	1	0	0	0	0	0	0	0
Monkey (monster) - Common	Monkey (monster) Common	Free-to-play	3	6	2	2	1	1	0	0	0	0	0	0	0
Monkey (monster) - Mos Le'Harmless	Monkey (monster) Mos Le'Harmless	Members	3	6	2	2	1	1	0	0	0	0	0	0	0
Pheasant - 4 tails	Pheasant 4 tails	Free-to-play	3	5	3	3	1	1	0	0	0	0	0	0	0
Pheasant - 2 tails	Pheasant 2 tails	Free-to-play	3	5	3	3	1	1	0	0	0	0	0	0	0
Zombie rat - 2	Zombie rat 2	Free-to-play	3	5	2	2	1	1	0	0	0	0	0	0	0
Monk - Level 3	Monk Level 3	Members	3	5	2	3	1	1	0	0	0	0	0	0	0
Pheasant - 3 tails	Pheasant 3 tails	Free-to-play	3	5	3	3	1	1	0	0	0	0	0	0	0
Zombie rat - 3	Zombie rat 3	Free-to-play	3	5	2	2	1	1	0	0	0	0	0	0	0
Gnome troop - Level 3	Gnome troop Level 3	Members	3	3	1	1	1	5	3	4	5	2	4	4	4
Sleepwalker (monster) - 6	Sleepwalker (monster) 6	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Chicken (Tutorial Island)	Chicken (Tutorial Island)	Free-to-play	3	3	1	1	1	1							
Cave goblin (monster) - Brown	Cave goblin (monster) Brown	Members	3	10	1	1	1	1	0	0	0	0	0	0	0
Sleepwalker (monster) - 5	Sleepwalker (monster) 5	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Gnome - Level 3	Gnome Level 3	Members	3	3	1	1	1	5	-42	-42	-42	-42	-42	-42	-42
Sleepwalker (monster) - 4	Sleepwalker (monster) 4	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Sleepwalker (monster) - 2	Sleepwalker (monster) 2	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Cave goblin (monster) - Blue	Cave goblin (monster) Blue	Members	3	10	1	1	1	1	0	0	0	0	0	0	0
Cave goblin (monster) - Backpack	Cave goblin (monster) Backpack	Members	3	10	1	1	1	1	0	0	0	0	0	0	0
Zombie rat - 1	Zombie rat 1	Free-to-play	3	5	2	2	1	1	0	0	0	0	0	0	0
Cave goblin (monster) - Beige	Cave goblin (monster) Beige	Members	3	10	1	1	1	1	0	0	0	0	0	0	0
Woman (West Ardougne) - Level 3 (3)	Woman (West Ardougne) Level 3 (3)	Members	3	10	1	2	1	1	0	0	0	0	0	0	0
Woman (West Ardougne) - Level 3 (1)	Woman (West Ardougne) Level 3 (1)	Members	3	10	2	1	1	1	1	1	1	0	0	0	0
Woman (West Ardougne) - Level 3 (2)	Woman (West Ardougne) Level 3 (2)	Members	3	10	2	1	1	1	1	1	1	0	0	0	0
Sleepwalker (monster) - 1	Sleepwalker (monster) 1	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Sleepwalker (monster) - 3	Sleepwalker (monster) 3	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Giant rat (Tutorial Island) - Unused, 1	Giant rat (Tutorial Island) Unused, 1	Free-to-play	3	3	1	1	1	1	-100	-100	-100	0	-100	-100	-100
Seagull - Level 3	Seagull Level 3	Free-to-play	3	10	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Gardener - Level 3	Gardener Level 3	Free-to-play	3	7	2	5	1	1	0	0	0	0	0	0	0
Giant rat (Tutorial Island) - Used	Giant rat (Tutorial Island) Used	Free-to-play	3	3	1	1	1	1	-100	-100	-100	0	-100	-100	-100
Seagull (Icyene Graveyard)	Seagull (Icyene Graveyard)	Members	3	10	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Giant rat (Tutorial Island) - Unused, 2	Giant rat (Tutorial Island) Unused, 2	Free-to-play	3	3	1	1	1	1	-100	-100	-100	0	-100	-100	-100
Drunken man	Drunken man	Free-to-play	3	7	1	1	1	1	-21	-21	-21	-21	-21	-21	-21
Giant rat - Level 3	Giant rat Level 3	Free-to-play	3	5	2	2	1	1	0	0	0	0	0	0	0
Cuffs	Cuffs	Free-to-play	3	7	1	3	1	1	5	5	5	5	5	5	5
Sleepwalker (Phosani's Nightmare)	Sleepwalker (Phosani's Nightmare)	Members	3	10	1	0	0	0	-100	-100	-100	-100	-100	-100	-100
Rooster - Level 3	Rooster Level 3	Members	3	7	2	1	1	1	-42	-42	-42	-42	-42	-42	-42
Woman (West Ardougne) - Level 4 (1)	Woman (West Ardougne) Level 4 (1)	Members	4	13	2	1	1	1	1	1	1	0	0	0	0
Woman (West Ardougne) - Level 4 (2)	Woman (West Ardougne) Level 4 (2)	Members	4	13	2	1	1	1	0	0	0	0	0	0	0
Porcupine	Porcupine	Members	4	5	4	2	1	1	0	0	0	0	0	0	0
Man (level 4) - Unused	Man (level 4) Unused	Free-to-play	4	13	2	1	1	1	1	1	1	0	0	0	0
Gardener - Level 4	Gardener Level 4	Free-to-play	4	7	1	7	1	1	0	0	0	0	0	0	0
Hygd	Hygd	Members	4	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Ceolburg	Ceolburg	Members	4	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Man (level 4) - Normal	Man (level 4) Normal	Free-to-play	4	13	2	1	1	1	1	1	1	0	0	0	0
Eadburg	Eadburg	Members	4	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Servant (Burthorpe)	Servant (Burthorpe)	Members	5	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Snake (Varlamore)	Snake (Varlamore)	Members	5	6	4	3	1	1	0	0	0	0	0	0	0
Snake	Snake	Free-to-play	5	6	4	3	1	1	0	0	0	0	0	0	0
Snake (desert)	Snake (desert)	Members	5	6	4	3	1	1	0	0	0	0	0	0	0
Penda	Penda	Members	5	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Goblin - Level 5	Goblin Level 5	Free-to-play	5	12	3	4	1	1	0	0	0	0	0	0	0
Gnome Archer	Gnome Archer	Members	5	10	1	1	1	6	-30	-30	-30	-30	-30	-30	-30
Highwayman - No hood	Highwayman No hood	Free-to-play	5	13	2	2	1	1	0	3	2	0	2	2	2
Gnome Driver	Gnome Driver	Members	5	10	3	3	1	1	-30	-30	-30	-30	-30	-30	-30
Highwayman - Hood	Highwayman Hood	Free-to-play	5	13	2	4	1	1	0	3	2	0	2	2	2
Goblin (Vault of War) - Level 5	Goblin (Vault of War) Level 5	Free-to-play	5	5	7	4	1	1	0	0	0	0	0	0	0
Gnome Mage	Gnome Mage	Members	5	10	3	1	1	5	-30	-30	-30	-30	-30	-30	-30
Goblin (Goblin Village) - Red	Goblin (Goblin Village) Red	Free-to-play	5	12	3	4	1	1	0	0	0	0	0	0	0
Goblin (Goblin Village) - Green	Goblin (Goblin Village) Green	Free-to-play	5	12	3	4	1	1	0	0	0	0	0	0	0
Frog	Frog	Free-to-play	5	8	5	3	1	1	0	0	0	0	0	0	0
Ocga	Ocga	Members	5	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Monk - Level 5	Monk Level 5	Free-to-play	5	15	2	3	1	1	0	0	0	0	0	0	0
Bird - Level 5	Bird Level 5	Members	5	5	5	5	5	1	0	0	0	0	0	0	0
Boar - Level 5	Boar Level 5	Free-to-play	5	8	5	3	1	1	0	0	0	0	0	0	0
Breoca	Breoca	Members	5	10	3	3	1	1	-12	-12	-12	-12	-12	-12	-12
Giant rat - Level 6	Giant rat Level 6	Free-to-play	6	10	6	2	1	1	0	0	0	0	0	0	0
Bat	Bat	Members	6	8	5	5	1	1	2	2	5	2	0	0	0
Mugger - Varlamore	Mugger Varlamore	Free-to-play	6	8	5	5	1	1	0	0	0	0	0	0	0
Cave bug - Level 6	Cave bug Level 6	Members	6	5	6	6	1	1	10	10	5	5	10	10	10
Mugger - Regular	Mugger Regular	Free-to-play	6	8	5	5	1	1	0	0	0	0	0	0	0
Chompy bird	Chompy bird	Members	6	10	5	3	0	0	0	0	0	0	0	0	0
Farmer - Green shirt, long sleeves	Farmer Green shirt, long sleeves	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Farmer - Green shirt, short sleeves	Farmer Green shirt, short sleeves	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Imp - God Wars	Imp God Wars	Members	7	10	5	6	1	1	-42	-42	-42	-42	-42	-42	-42
Dwarf - Level 7	Dwarf Level 7	Free-to-play	7	10	6	6	1	1	0	0	0	5	10	10	10
Dark wizard - Level 7	Dark wizard Level 7	Free-to-play	7	12	5	5	6	1	0	0	0	3	0	0	0
Boar - Level 7	Boar Level 7	Members	7	12	6	4	1	1	0	0	0	0	0	0	0
Farmer - Khaki shirt, bracers	Farmer Khaki shirt, bracers	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Farmer - Straw hat, black hair	Farmer Straw hat, black hair	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 7	Crawling Hand Level 7	Members	7	15	7	3	1	1	0	0	0	0	0	0	0
Passionate Supporter	Passionate Supporter	Members	7	10	1	1	1	1	0	0	0	0	0	0	0
Farmer - Khaki shirt, no bracers	Farmer Khaki shirt, no bracers	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Revenant imp	Revenant imp	Members	7	10	5	4	9	5	0	0	0	5	0	0	0
Farmer - Straw hat, blonde hair	Farmer Straw hat, blonde hair	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Farmer - Straw hat, brown hair	Farmer Straw hat, brown hair	Free-to-play	7	12	3	8	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 8 (1)	Crawling Hand Level 8 (1)	Members	8	16	8	4	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 8 (2)	Crawling Hand Level 8 (2)	Members	8	16	8	4	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 8 (4)	Crawling Hand Level 8 (4)	Members	8	16	8	4	1	1	0	0	0	0	0	0	0
Dark warrior - Level 8	Dark warrior Level 8	Free-to-play	8	17	5	5	1	1	96	79	59	0	0	0	0
Crawling Hand - Level 8 (3)	Crawling Hand Level 8 (3)	Members	8	16	8	4	1	1	0	0	0	0	0	0	0
Scarab Swarm (Tombs of Amascut)	Scarab Swarm (Tombs of Amascut)	Members	8	10	1	0	1	1	-100	-100	-100	-100	-100	-100	-100
Barbarian - Level 8 (Blue Moon Inn)	Barbarian Level 8 (Blue Moon Inn)	Free-to-play	8	14	6	5	1	1	1	1	0	0	0	0	0
Barbarian (Barbarian Camp) - Level 9	Barbarian (Barbarian Camp) Level 9	Members	9	20	6	3	1	1	0	10	10	-3	5	5	5
Wizard	Wizard	Free-to-play	9	14	8	5	10	1	0	0	0	3	0	0	0
Blessed giant rat - 1	Blessed giant rat 1	Members	9	30	5	1	1	1	-24	-24	-24	-24	-24	-24	-24
Barbarian - Level 9 (Sieglinde)	Barbarian Level 9 (Sieglinde)	Free-to-play	9	20	6	3	1	1	9	10	10	-3	5	5	5
Blessed giant rat - 2	Blessed giant rat 2	Members	9	30	5	1	1	1	-24	-24	-24	-24	-24	-24	-24
Al Kharid warrior	Al Kharid warrior	Free-to-play	9	19	7	4	1	1	12	15	10	-1	12	12	12
Buffalo	Buffalo	Members	9	20	6	1	1	1	-21	-21	-21	-21	-21	-21	-21
Myre Blamish Snail - Round	Myre Blamish Snail Round	Members	9	8	0	22	1	5	5	5	30	5	50	50	50
Jubbly bird	Jubbly bird	Members	9	20	5	6	1	1	0	0	0	0	0	0	0
Barbarian (Barbarian Camp) - Level 10 (spear)	Barbarian (Barbarian Camp) Level 10 (spear)	Members	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Adolpho)	Barbarian Level 10 (Adolpho)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Edelschwarz)	Barbarian Level 10 (Edelschwarz)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian (Barbarian Camp) - Level 10 (greataxe)	Barbarian (Barbarian Camp) Level 10 (greataxe)	Members	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Adelino)	Barbarian Level 10 (Adelino)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Fafner)	Barbarian Level 10 (Fafner)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Acelin)	Barbarian Level 10 (Acelin)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian (Barbarian Camp) - Level 10 (2h sword)	Barbarian (Barbarian Camp) Level 10 (2h sword)	Members	10	18	8	3	1	1	0	3	2	-3	2	2	2
Dwarf - Level 10	Dwarf Level 10	Free-to-play	10	16	8	6	1	1	0	0	0	5	0	0	0
Barbarian - Level 10 (Gutrune)	Barbarian Level 10 (Gutrune)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Lydspor)	Barbarian Level 10 (Lydspor)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Thug	Thug	Members	10	18	7	9	1	1	2	3	3	0	0	0	0
Rowdy slave	Rowdy slave	Members	10	16	7	7	0	0	0	0	0	0	0	0	0
Big frog - Level 10	Big frog Level 10	Free-to-play	10	18	8	4	1	1	0	0	0	0	0	0	0
Barbarian - Level 10 (Hagen)	Barbarian Level 10 (Hagen)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Myre Blamish Snail - Pointed	Myre Blamish Snail Pointed	Members	10	13	0	12	1	8	5	5	30	5	50	50	50
Barbarian - Level 10 (Wotan)	Barbarian Level 10 (Wotan)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Barbarian - Level 10 (Siegfried)	Barbarian Level 10 (Siegfried)	Free-to-play	10	18	8	3	1	1	0	3	2	-3	2	2	2
Ochre Blamish Snail - Round	Ochre Blamish Snail Round	Members	10	10	0	18	1	7	5	5	30	5	50	50	50
Goblin (Vault of War) - Level 11	Goblin (Vault of War) Level 11	Free-to-play	11	7	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 5	Cave goblin miner 5	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 6	Cave goblin miner 6	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 4	Cave goblin miner 4	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 2	Cave goblin miner 2	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 1	Cave goblin miner 1	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Cave goblin miner - 7	Cave goblin miner 7	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 11 (unused)	Crawling Hand Level 11 (unused)	Members	11	18	10	6	1	1	0	0	0	0	0	0	0
Cave goblin miner - 8	Cave goblin miner 8	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Dwarf - Level 11	Dwarf Level 11	Free-to-play	11	18	8	8	1	1	0	0	0	5	10	10	10
Dark wizard - Level 11	Dark wizard Level 11	Members	11	15	5	10	10	1	0	0	0	5	0	0	0
Bird - Level 11	Bird Level 11	Members	11	10	10	10	10	1	0	0	0	0	0	0	0
Cave goblin miner - 3	Cave goblin miner 3	Members	11	10	10	7	1	1	0	0	0	0	0	0	0
Mourner - Level 11	Mourner Level 11	Members	11	19	8	8	1	1	6	6	9	0	0	0	0
SAS Member	SAS Member	Free-to-play	11												
Shipyard worker	Shipyard worker	Members	11	10	10	10	0	0	0	0	0	0	0	0	0
Animated Bronze Armour	Animated Bronze Armour	Members	11	10	10	10	1	1	50	25	19	400	400	400	400
Plague frog	Plague frog	Members	11	10	18	1	1	1	0	0	0	0	0	0	0
Wolf - Level 11	Wolf Level 11	Free-to-play	11	10	10	10	1	1	0	0	0	0	0	0	0
Grave scorpion	Grave scorpion	Members	12	7	11	14	1	1	0	3	3	0	0	0	0
Minotaur - Level 12	Minotaur Level 12	Free-to-play	12	10	12	10	1	1	-21	-21	-21	-21	-21	-21	-21
Venenatis' Spiderling (monster)	Venenatis' Spiderling (monster)	Members	12	5	15	1	10	20	0	0	0	0	0	0	0
Crawling Hand - Level 12 (unused 2)	Crawling Hand Level 12 (unused 2)	Members	12	19	11	10	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 12 (unused 1)	Crawling Hand Level 12 (unused 1)	Members	12	19	11	9	1	1	0	0	0	0	0	0	0
Crawling Hand - Level 12 (2)	Crawling Hand Level 12 (2)	Members	12	19	11	7	1	1	0	0	0	0	0	0	0
H.A.M. Guard - Level 12	H.A.M. Guard Level 12	Members	12	15	8	8	1	1	5	5	0	0	5	5	5
Dungeon rat - Small	Dungeon rat Small	Members	12	12	10	10	1	1	0	0	0	0	0	0	0
